cluster,Name,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,l,b,radial_velocity,dist_kpc,dist_pc,X,Y,Z,Metal,M_e,log_age,log_age_e,dg,Av,Ag,E_BR_RP,d2,mass,e_mass,fb,rc_deg,e_rc_deg,rt_deg,e_rt_deg,ro_deg,e_ro_deg,re_deg,e_re_deg,r50_deg,bw,fitflag,rc_pc,rt_pc,e_rc_pc,e_rt_pc,R_J_pc,a_kpc,e,p_Myr,i_deg
173,Theia_1761,268.6007569,0.035107218,-23.06701956,0.027764203,0.079777809,0.041630127,-2.600580137,0.02912176,0.709553895,0.03757152,18.63114994,0.96159416,6.050017926,1.326980823,-7.21894433,1.409336214,1409.336214,-6790.91514,140.2360299,47.69046411,0.0270298,0.007887664,8.269512944,0.215007337,12.22177222,2.513175082,2.163843745,1.032740942,0.038543326,391,78,0.68,0.254427329,0.023521117,1.159125798,0.490121849,0.019663445,0.155847769,0.881928782,15.21419214,0.17511663,0.456155417,comb,6.258290779,28.51166312,0.578562021,12.05580022,7.710490618,8.449623878,0.017750646,0.702202496,89.04617675
174,FSR_0224,306.3376625,0.018552787,40.21460781,0.01960748,-3.14608669,0.02416941,-4.327826536,0.024466633,0.577796103,0.023469929,24.47106654,1.04589085,78.46248838,1.356474332,19.22641673,1.730714338,1730.714338,-7792.85435,1611.570927,58.92118396,0.0270298,0.007887664,6.6599162,0.173157821,14.06646654,4.310738891,3.711546185,1.771415201,16,181,36,0.45,0.063542573,0.0043521,0.169647516,0.025830416,0.115580278,0.005106334,0.29127234,0.052353267,0.027122053,0.597396793,comb,1.919409127,5.124485448,0.131462421,0.780250687,6.592401593,10.2899364,0.084956585,0.943681277,94.57727546
174,LK_10,309.8342563,0.092470735,40.01337279,0.12030616,-2.896967735,0.12541029,-4.505071675,0.16164805,0.624739429,0.12749658,5.117261272,1.03447265,79.88154067,-0.918360071,12.65443374,1.60066734,1600.66734,-7872.429033,1396.542484,-2.82626215,0.0152,0.004435567,7.599883072,0.19759696,20.66822599,8.129776689,6.999737729,3.340775298,0.085330204,857,171,0.65,0.118281723,0.009868105,0.20952449,0.021231222,0.133732417,0.001992994,0.318659339,0.01858834,0.0800784,0.431001949,comb,3.304426478,5.853467933,0.275684414,0.593134851,11.10226166,9.50942855,0.108360386,0.838374253,94.64597671
175,FSR_0251,309.9905542,0.063940294,42.96919333,0.06908049,-2.497634729,0.084970914,-3.60989383,0.08990963,0.624875312,0.07854818,7.876784211,1.053862,82.29309617,0.798739063,-29.07432955,1.600319266,1600.319266,-7923.690271,1465.695595,40.55563889,0.0085476,0.002494306,6.599883072,0.17159696,15.59957507,6.165300529,5.308323756,2.533511621,14,140,28,0.76,0.109042445,0.010582801,0.166780235,0.015684288,0.14330156,0.001693012,0.365602554,0.015138328,0.039257154,0.547813898,comb,3.045647114,4.658312105,0.295586524,0.438075343,6.099431181,12.01198536,0.236688717,1.190223427,93.1679768
175,UBC_378,311.5443399,0.018452076,48.80335586,0.018024018,-2.63858136,0.024068624,-3.985379837,0.022743806,0.661930832,0.020480251,31.71600533,1.01794517,87.54743486,3.540070631,-30.46594306,1.510731863,1510.731863,-8060.370118,1452.34001,110.6045132,0.0270298,0.007887664,9.178976947,0.238653401,11.70175762,2.170907005,1.869150931,0.892092461,0.005020869,137,27,0.68,0.143327946,0.005127893,0.459740867,0.046910365,0.216500826,0.003351805,0.540548996,0.032839206,0.137694194,0.526401385,comb,3.779163085,12.12210013,0.135208412,1.236897093,6.114687341,16.72349725,0.232291687,1.955225972,91.67112613
176,FSR_0282,315.5719821,0.06667707,48.09927463,0.072513506,-3.645290642,0.08672058,-4.679235452,0.08758713,0.238324367,0.07962123,2.965441775,1.0126289,88.73763379,1.040257154,-44.77291142,4.195962052,4195.962052,-8044.283699,3538.882144,84.90515496,0.0152,0.004435567,8.609594409,0.223849455,17.77301588,4.682368911,4.031519632,1.924129407,0.030599044,2068,413,0.73,0.059542451,0.000804788,0.266554777,0.009384339,0,0,0,0,0.055824123,0.421235044,king,4.360493338,19.5207001,0.058937324,0.687246612,16.02948686,15.77860006,0.419455207,1.791880343,109.4249259
176,Teutsch_22,315.4310209,0.058977138,44.12618879,0.066436872,-3.499724212,0.077401042,-4.845092602,0.085885294,0.222382119,0.074027441,3.034261703,1.00992763,85.69097767,-1.513930609,-42.74780029,4.496764418,4496.764418,-7813.114707,4095.91346,-88.97408452,0.0480666,0.014026488,8.989894564,0.233737259,14.63489904,2.383125734,2.051871257,0.979299665,0.045137529,1457,291,0.98,0.06605977,0.002034309,0.122534376,0.004933359,0.10492584,0.000765266,0.264433148,0.007208578,0.050673647,0.405480133,comb,5.184591705,9.616907679,0.159659375,0.387186515,14.19062499,35.86047185,0.443982987,6.139461815,113.3261605
177,FSR_0394,343.7965783,0.074341238,58.70831857,0.073232144,-3.7259021,0.094805814,-1.263008307,0.088895194,0.250101624,0.088209614,2.970111847,1.042669296,108.3196477,-0.825232796,-70.83626354,3.998374683,3998.374683,-9304.550043,3570.10356,-30.43443912,0.0085476,0.002494306,8.770115295,0.228022998,17.20882755,4.214757194,3.628905944,1.731973369,0.015460034,548,109,0.47,0.105391707,0.00061114,0.119386048,0.000407768,0.118579144,0.001215748,0.334867645,0.012928464,0.03926934,0.469807027,comb,7.354739505,8.331331834,0.042648284,0.02845601,10.99831338,41.55404138,0.503701153,7.658191196,100.3622053
177,NGC_7790,359.6106901,0.031675139,61.20920629,0.031947482,-3.244140808,0.037992582,-1.721878348,0.038255829,0.290320873,0.041713675,6.933412552,1.012746692,116.59422,-1.007421199,-66.5658788,3.444464708,3444.464708,-9521.93909,2795.641759,-30.78396106,0.0270298,0.007887664,8.079181246,0.210058712,13.60018362,2.241227011,1.929696457,0.920989115,0.005465277,687,137,0.34,0.057813753,0.000848574,0.122707383,0.002887307,0.099133201,0.00060235,0.232527564,0.005361155,0.044259545,0.422423323,comb,3.47560385,7.376830436,0.051013935,0.173576957,11.87801056,33.5740438,0.444766545,5.561754078,93.18823241
177,SAI_149,354.5163993,0.027791093,60.54484158,0.027773727,-3.796957385,0.035599145,-1.707313413,0.034655012,0.274327304,0.034818177,7.472256955,1.03059565,114.0287356,-1.049515328,-67.93504719,3.645280596,3645.280596,-9455.650241,2991.718144,-36.1404888,0.0152,0.004435567,8.860338007,0.230368788,16.14159985,3.971782216,3.419704488,1.632127477,15,190,38,0.67,0.079749332,0.001395962,0.107640961,0.001489641,0.098786945,0.00068173,0.228997794,0.006486144,0.036387817,0.588795922,comb,5.073823848,6.848349212,0.088814102,0.094774161,7.749461833,42.15722245,0.46619747,7.825539485,87.43723543
177,UBC_1182,352.6665779,0.053817272,61.26708698,0.05062063,-3.0782085,0.067907982,-1.508515095,0.064328052,0.240274268,0.064152837,3.726866245,1.009662032,113.3740586,-0.084775313,-69.95763553,4.161910505,4161.910505,-9628.853867,3463.826687,24.04823568,0.0480666,0.014026488,7.599883072,0.19759696,16.08609041,3.225279055,2.776965267,1.325366368,0.088214476,1060,212,0.33,0.116084591,0.01161312,0.787918424,0.570201047,0.249156324,0.004925587,0.61732198,0.055841369,0.127380718,0.414913267,comb,8.432273421,57.23363909,0.843565905,41.41885751,14.00480509,18.63913275,0.480121715,2.30061981,101.0903658
178,FSR_0401,345.2527675,0.033469841,59.7010812,0.033971091,-3.831029308,0.043099535,-2.6869179,0.042176118,0.274935852,0.039976208,6.644753799,1.0205491,109.4097063,-0.236985382,-59.75487707,3.637212067,3637.212067,-9233.536089,3155.508255,9.54067851,0.0480666,0.014026488,8.889861721,0.231136405,14.65861328,3.828268131,3.296138861,1.573153125,0.00999145,222,44,0.5,0.056039459,0.002525509,0.124750837,0.009640983,0.091714354,0.001534067,0.243873808,0.017858342,0.034941639,0.55558884,comb,3.557459175,7.919348573,0.160322661,0.612022386,8.053653621,16.0153545,0.430366345,1.832361412,85.35719324
178,NGC_7235,333.0638112,0.035012119,57.26956075,0.03348095,-3.794479745,0.048917871,-3.082756069,0.041108824,0.277724053,0.040188242,6.965830326,1.028196454,102.6889596,0.792833094,-61.98886538,3.600696412,3600.696412,-8862.019108,3285.7008,69.15175483,0.0270298,0.007887664,6.609594409,0.171849455,16.15483283,3.570314317,3.074040627,1.467151969,0.024163508,1015,203,0.23,0.075045426,0.003724971,0.151109284,0.011065955,0.111522436,0.000542828,0.264334678,0.005077961,0.059132851,0.422024621,comb,4.716155333,9.496313015,0.234092106,0.695428962,13.07495503,19.19247356,0.439998107,2.403824346,91.42909486
178,UBC_164,333.9904641,0.039949589,53.99511632,0.039807821,-3.330618651,0.05015532,-3.333650258,0.047307989,0.264681173,0.047657112,5.42324996,1.007799089,101.2563578,-2.198510604,-56.53956523,3.778130453,3778.130453,-8786.489878,3335.720146,-108.4314951,0.0480666,0.014026488,6.790285164,0.176547414,15.42356098,2.255223994,1.941747859,0.926740906,0.039803504,1066,213,0.22,0.185413963,0.018303449,2.651497725,2.476781176,0,0,0,0,0.247188666,0.390967204,king,12.22634801,174.8419235,1.206944362,163.3209717,13.30854451,18.88568683,0.43947454,2.346418525,93.07061639
178,UBC_166,334.2326028,0.030277634,54.23197136,0.0310006,-3.599200519,0.038197164,-3.051722757,0.035881225,0.27330836,0.036913434,7.47212696,1.0175187,101.5044175,-2.088649331,-61.82527549,3.658870888,3658.870888,-8800.762217,3334.00746,-103.5911501,0.0270298,0.007887664,7.51054501,0.19527417,13.9586822,1.756574927,1.512411012,0.721830666,0.013208844,400,80,0.65,0.12607328,0.008292674,0.272934809,0.029796058,0.141375334,0.002115206,0.261640969,0.015744206,0.09238721,0.454132439,comb,8.050956944,17.42943783,0.529564721,1.902756715,9.567833943,15.93313086,0.455191944,1.818268385,102.207156
178,UBC_174,341.4168329,0.034534762,57.38999148,0.03289083,-3.299660339,0.043040956,-2.848392506,0.038981929,0.280937827,0.04142799,6.5396639,1.0089655,106.5885789,-1.428137919,-62.10876667,3.559506425,3559.506425,-9050.868789,3122.642621,-57.47007964,0.0480666,0.014026488,7.759667845,0.201751364,14.55924573,2.030383713,1.748160377,0.834347119,0.020120787,1052,210,0.45,0.180114307,0.008415549,0.236751904,0.008368287,0.233172357,0.0016997,0.584866868,0.014710443,0.094399781,0.389135858,comb,11.18962057,14.70823734,0.522816881,0.519880724,13.37481767,18.21515257,0.439649197,2.222570383,100.1595765
179,FSR_0443,355.7629119,0.033840485,59.1224602,0.03435502,-3.422017585,0.04352712,-2.720946045,0.04340647,0.32807097,0.04355313,7.882445454,1.0306863,114.2399188,-2.588137243,35.14285067,3.048120962,3048.120962,-9265.701614,2533.06316,-104.9290527,0.0270298,0.007887664,6.680335513,0.173688723,15.69272147,4.289505966,3.693264636,1.762689939,0.026270409,449,89,0.28,0.164856745,0.002233939,0.256262195,0.003453342,0.190149678,0.00262112,0.339638677,0.029359732,0.123614339,0.526401385,comb,8.77033709,13.63308388,0.118844989,0.18371692,10.08448932,11.64753918,0.110532126,1.136468946,88.60639605
179,NGC_7510,347.8079259,0.041524954,60.55987417,0.040786687,-3.651410172,0.053156344,-2.234984823,0.051471945,0.31713464,0.050807243,6.267874479,1.02093631,110.9166109,0.046774292,38.37769411,3.153234851,3153.234851,-9178.506271,2766.080804,26.91836353,0.0480666,0.014026488,6.69019608,0.173945098,18.02058352,4.702547108,4.04889306,1.932421249,0.044012729,1076,215,0.56,0.16529522,0.009714187,0.541712154,0.093857229,0.32013122,0.005110484,1.141981407,0.074099463,0.185241285,0.409522112,comb,9.096911724,29.81276558,0.534613775,5.165369736,13.43686044,11.25120617,0.057044556,1.078958963,89.14838235
180,FSR_0498,7.27740978,0.032173708,62.39069911,0.032972697,-3.275341612,0.040271092,-0.75100944,0.043511558,0.348477307,0.042464077,8.018309593,1.00417316,120.3460271,-0.366928509,-77.91369811,2.869627319,2869.627319,-9435.616235,2242.543175,7.72015956,0.0480666,0.014026488,6.650307523,0.172907996,15.92645875,2.794742243,2.406273071,1.148445549,0.083580239,435,87,0.13,0.118544501,0.005401264,0.324341325,0.034010138,0.212682096,0.002570607,0.524212549,0.027152514,0.12242327,0.420455693,comb,5.937235543,16.24445526,0.27051931,1.703378887,10.0464347,18.71881699,0.475919997,2.315388651,86.96958479
180,NGC_103,6.36111915,0.060872193,61.33183799,0.061880637,-2.830449406,0.077239431,-1.046457033,0.082033455,0.294897573,0.084713042,3.526621819,1.009293914,119.8209648,-1.384731595,-75.12265449,3.391007899,3391.007899,-9693.40987,2744.210511,-51.67558492,0.0480666,0.014026488,8.749736316,0.227493144,12.84528852,1.082091072,0.931680413,0.444664504,0.10344432,3171,634,0.98,0.142432573,0.006408526,0.29826727,0.021045644,0.254624845,0.001443334,0.765174971,0.01690311,0.230278964,0.311197032,comb,8.429765407,17.65272551,0.379283823,1.245570715,19.8896222,43.73462796,0.478184398,8.268837507,94.24112288
